example_id,clean_source,noise_type,snr_db,sample_rate,clean_path,noise_path,noisy_path
01,V5_dev_testset/Track1_Headset/enrol/A122PMN7S5SU33_F_Kitchen_Regular_HS_Desk_Primary_fid3.wav,white,9.591,16000,/home/rey/espressif_project/data/samples/dns_preview/clean/01.wav,/home/rey/espressif_project/data/samples/dns_preview/noise/01.wav,/home/rey/espressif_project/data/samples/dns_preview/noisy/01.wav
02,V5_dev_testset/Track1_Headset/enrol/A18LFH7XW61JO9_M_Water_Regular_HS_Desk_Primary_fid16.wav,hum,0.375,16000,/home/rey/espressif_project/data/samples/dns_preview/clean/02.wav,/home/rey/espressif_project/data/samples/dns_preview/noise/02.wav,/home/rey/espressif_project/data/samples/dns_preview/noisy/02.wav
03,V5_dev_testset/Track1_Headset/enrol/A1I63OL2TAXTGJ_F_NoNoise_Regular_HS_Desk_Neighbor_fid11.wav,white,4.125,16000,/home/rey/espressif_project/data/samples/dns_preview/clean/03.wav,/home/rey/espressif_project/data/samples/dns_preview/noise/03.wav,/home/rey/espressif_project/data/samples/dns_preview/noisy/03.wav
04,V5_dev_testset/Track1_Headset/enrol/A1I63OL2TAXTGJ_F_NoNoise_Regular_HS_Desk_Neighbor_fid39.wav,brown,3.348,16000,/home/rey/espressif_project/data/samples/dns_preview/clean/04.wav,/home/rey/espressif_project/data/samples/dns_preview/noise/04.wav,/home/rey/espressif_project/data/samples/dns_preview/noisy/04.wav
05,V5_dev_testset/Track1_Headset/enrol/A1N8TKTLXV92QR_M_Chair_Regular_HS_Desk_Primary_fid2.wav,brown,11.047,16000,/home/rey/espressif_project/data/samples/dns_preview/clean/05.wav,/home/rey/espressif_project/data/samples/dns_preview/noise/05.wav,/home/rey/espressif_project/data/samples/dns_preview/noisy/05.wav
06,V5_dev_testset/Track1_Headset/enrol/A1QUQ0TV9KVD4C_F_Baby_Regular_HS_Desk_Primary_fid75.wav,babble,10.150,16000,/home/rey/espressif_project/data/samples/dns_preview/clean/06.wav,/home/rey/espressif_project/data/samples/dns_preview/noise/06.wav,/home/rey/espressif_project/data/samples/dns_preview/noisy/06.wav
07,V5_dev_testset/Track1_Headset/enrol/A1QUQ0TV9KVD4C_F_Dog_Regular_HS_Desk_Primary_fid1.wav,babble,13.383,16000,/home/rey/espressif_project/data/samples/dns_preview/clean/07.wav,/home/rey/espressif_project/data/samples/dns_preview/noise/07.wav,/home/rey/espressif_project/data/samples/dns_preview/noisy/07.wav
08,V5_dev_testset/Track1_Headset/enrol/A1V6P1ZE6Q8YEW_M_Fan_Regular_HS_Desk_Neighbor_fid71.wav,brown,1.304,16000,/home/rey/espressif_project/data/samples/dns_preview/clean/08.wav,/home/rey/espressif_project/data/samples/dns_preview/noise/08.wav,/home/rey/espressif_project/data/samples/dns_preview/noisy/08.wav
09,V5_dev_testset/Track1_Headset/enrol/AKA8TN8H8DQ6T_M_Car_Regular_HS_Desk_Primary_fid23.wav,white,6.329,16000,/home/rey/espressif_project/data/samples/dns_preview/clean/09.wav,/home/rey/espressif_project/data/samples/dns_preview/noise/09.wav,/home/rey/espressif_project/data/samples/dns_preview/noisy/09.wav
10,V5_dev_testset/Track1_Headset/enrol/AU5CNN7GUH9D9_M_Fan_Regular_HS_Desk_Neighbor_fid58.wav,pink,0.447,16000,/home/rey/espressif_project/data/samples/dns_preview/clean/10.wav,/home/rey/espressif_project/data/samples/dns_preview/noise/10.wav,/home/rey/espressif_project/data/samples/dns_preview/noisy/10.wav
